Date,Customer,Amount,Size,Duration
2025-08-01,ABC Construction LLC,850,30 Yard,14 days
2025-08-02,Premier Home Builders,720,30 Yard,12 days
2025-08-03,Elite Renovations Inc,650,20 Yard,10 days
2025-08-04,Summit Construction,580,20 Yard,8 days
2025-08-05,Metro Demolition Co,920,40 Yard,16 days
2025-08-06,Valley Builders Group,680,30 Yard,11 days
2025-08-07,Peak Construction,520,20 Yard,7 days
2025-08-08,Canyon Contractors,750,30 Yard,13 days
2025-08-09,Desert Development,620,20 Yard,9 days
2025-08-10,Mountain View Builders,480,15 Yard,6 days
2025-08-11,Sunrise Construction,390,15 Yard,5 days
2025-08-12,Heritage Home Solutions,550,20 Yard,8 days
2025-08-13,Premier Home Builders,680,30 Yard,12 days
2025-08-14,Elite Renovations Inc,420,15 Yard,6 days
2025-08-15,Summit Construction,750,30 Yard,14 days
2025-08-16,Metro Demolition Co,850,40 Yard,15 days
2025-08-17,Valley Builders Group,580,20 Yard,9 days
2025-08-18,Peak Construction,620,20 Yard,10 days
2025-08-19,Canyon Contractors,480,15 Yard,7 days
2025-08-20,Desert Development,720,30 Yard,12 days
2025-08-21,Mountain View Builders,550,20 Yard,8 days
2025-08-22,Sunrise Construction,390,15 Yard,5 days
2025-08-23,Heritage Home Solutions,650,20 Yard,11 days
2025-08-24,ABC Construction LLC,850,30 Yard,14 days
2025-08-25,Premier Home Builders,680,30 Yard,12 days
2025-08-26,Elite Renovations Inc,520,20 Yard,8 days
2025-08-27,Summit Construction,750,30 Yard,13 days
2025-08-28,Metro Demolition Co,920,40 Yard,16 days
2025-08-29,Valley Builders Group,580,20 Yard,9 days
2025-08-30,Peak Construction,620,20 Yard,10 days
2025-08-31,Canyon Contractors,480,15 Yard,7 days
